no;q2;sex;age;work;educ;tenure
815;up by 4% but less than 5%;male;45-54;full or part time;medium (A-Level);mortgage
816;up by 2% but less than 3%;male;55-64;not working;low (GCSE);council rent
817;up by 1% but less than 2%;female;35-44;not working;low (GCSE);council rent
818;not changed;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
819;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);mortgage
820;Gone down;male;65+;not working;medium (A-Level);owned outright
821;up by 4% but less than 5%;female;25-34;full or part time;medium (A-Level);mortgage
822;up by 4% but less than 5%;male;55-64;not working;low (GCSE);other (inc private rent pre-2016)
823;up by 4% but less than 5%;female;45-54;not working;low (GCSE);other (inc private rent pre-2016)
824;Gone down;female;45-54;not working;low (GCSE);other (inc private rent pre-2016)
825;up by 5% or more;male;35-44;full or part time;low (GCSE);other (inc private rent pre-2016)
826;up by 5% or more;female;65+;not working;low (GCSE);owned outright
827;up by 1% or less;male;65+;not working;low (GCSE);owned outright
828;Gone down;female;45-54;full or part time;medium (A-Level);owned outright
829;up by 4% but less than 5%;male;25-34;full or part time;low (GCSE);mortgage
830;up by 2% but less than 3%;female;65+;not working;low (GCSE);council rent
831;up by 4% but less than 5%;female;35-44;not working;medium (A-Level);mortgage
832;up by 5% or more;male;45-54;not working;low (GCSE);owned outright
833;up by 5% or more;male;45-54;full or part time;high (Degree);owned outright
834;up by 3% but less than 4%;male;25-34;full or part time;medium (A-Level);mortgage
835;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
836;Gone down;male;65+;not working;low (GCSE);owned outright
837;Gone down;female;55-64;not working;low (GCSE);owned outright
838;up by 2% but less than 3%;female;55-64;full or part time;low (GCSE);mortgage
839;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
840;not changed;female;65+;not working;medium (A-Level);owned outright
841;up by 1% or less;male;65+;not working;medium (A-Level);owned outright
842;up by 1% but less than 2%;male;45-54;full or part time;high (Degree);mortgage
843;up by 5% or more;male;45-54;not working;medium (A-Level);owned outright
844;Gone down;female;55-64;full or part time;high (Degree);owned outright
845;not changed;female;45-54;full or part time;medium (A-Level);mortgage
846;not changed;male;35-44;full or part time;medium (A-Level);mortgage
847;up by 4% but less than 5%;male;25-34;full or part time;high (Degree);mortgage
848;up by 1% but less than 2%;female;55-64;full or part time;high (Degree);owned outright
849;up by 1% but less than 2%;male;65+;not working;high (Degree);owned outright
850;not changed;male;35-44;full or part time;medium (A-Level);mortgage
851;up by 1% or less;female;45-54;full or part time;high (Degree);mortgage
852;up by 2% but less than 3%;male;35-44;not working;low (GCSE);other (inc private rent pre-2016)
853;not changed;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
854;up by 4% but less than 5%;male;45-54;full or part time;low (GCSE);other (inc private rent pre-2016)
855;Gone down;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
856;up by 5% or more;female;25-34;full or part time;medium (A-Level);council rent
857;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);mortgage
858;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
859;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
860;Gone down;female;45-54;full or part time;medium (A-Level);mortgage
861;not changed;female;65+;not working;high (Degree);owned outright
862;not changed;male;65+;not working;low (GCSE);owned outright
863;up by 2% but less than 3%;male;65+;not working;low (GCSE);council rent
864;up by 4% but less than 5%;male;55-64;not working;medium (A-Level);council rent
865;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);mortgage
866;Gone down;female;55-64;not working;medium (A-Level);mortgage
867;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
868;not changed;female;65+;not working;medium (A-Level);owned outright
869;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
870;Gone down;female;55-64;not working;medium (A-Level);owned outright
871;up by 1% but less than 2%;female;55-64;full or part time;medium (A-Level);mortgage
872;up by 3% but less than 4%;female;45-54;full or part time;high (Degree);owned outright
873;up by 1% or less;male;25-34;full or part time;high (Degree);mortgage
874;up by 1% or less;male;65+;not working;low (GCSE);owned outright
875;not changed;female;45-54;full or part time;medium (A-Level);mortgage
876;up by 1% but less than 2%;female;65+;not working;low (GCSE);council rent
877;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
878;not changed;female;25-34;full or part time;high (Degree);mortgage
879;Gone down;female;25-34;not working;high (Degree);mortgage
880;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
881;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
882;not changed;male;15-24;full or part time;medium (A-Level);owned outright
883;Gone down;male;15-24;full or part time;medium (A-Level);mortgage
884;not changed;female;45-54;not working;medium (A-Level);mortgage
885;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
886;up by 4% but less than 5%;male;65+;not working;low (GCSE);owned outright
887;up by 5% or more;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
888;Gone down;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
889;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
890;up by 2% but less than 3%;female;25-34;full or part time;medium (A-Level);mortgage
891;up by 3% but less than 4%;male;45-54;full or part time;high (Degree);council rent
892;Gone down;male;15-24;full or part time;medium (A-Level);mortgage
893;Gone down;male;45-54;not working;medium (A-Level);owned outright
894;up by 5% or more;male;45-54;not working;medium (A-Level);mortgage
895;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);mortgage
896;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
897;up by 2% but less than 3%;male;65+;not working;high (Degree);owned outright
898;up by 2% but less than 3%;female;55-64;not working;medium (A-Level);owned outright
899;not changed;male;45-54;full or part time;medium (A-Level);owned outright
900;Gone down;female;65+;not working;medium (A-Level);owned outright
901;up by 1% or less;male;35-44;full or part time;medium (A-Level);mortgage
902;up by 5% or more;female;45-54;full or part time;medium (A-Level);owned outright
903;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
904;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
905;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
906;Gone down;male;65+;full or part time;high (Degree);owned outright
907;Gone down;male;65+;not working;medium (A-Level);owned outright
908;Gone down;male;55-64;full or part time;high (Degree);owned outright
909;up by 2% but less than 3%;male;65+;full or part time;medium (A-Level);owned outright
910;up by 5% or more;female;65+;not working;low (GCSE);owned outright
911;up by 3% but less than 4%;female;45-54;not working;medium (A-Level);mortgage
912;up by 4% but less than 5%;female;45-54;full or part time;medium (A-Level);owned outright
913;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
914;Gone down;male;65+;not working;low (GCSE);owned outright
915;up by 3% but less than 4%;male;65+;not working;low (GCSE);council rent
916;up by 5% or more;female;65+;not working;low (GCSE);owned outright
917;up by 4% but less than 5%;male;55-64;full or part time;medium (A-Level);owned outright
918;up by 3% but less than 4%;male;65+;not working;low (GCSE);owned outright
919;up by 2% but less than 3%;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
920;not changed;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
921;not changed;female;35-44;full or part time;medium (A-Level);mortgage
922;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
923;not changed;male;45-54;full or part time;medium (A-Level);mortgage
924;up by 1% but less than 2%;female;25-34;full or part time;medium (A-Level);mortgage
925;up by 2% but less than 3%;female;55-64;not working;low (GCSE);council rent
926;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
927;up by 3% but less than 4%;female;65+;not working;medium (A-Level);owned outright
928;up by 4% but less than 5%;female;35-44;not working;medium (A-Level);mortgage
929;not changed;female;55-64;full or part time;low (GCSE);other (inc private rent pre-2016)
930;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
931;not changed;male;15-24;full or part time;medium (A-Level);owned outright
932;up by 2% but less than 3%;male;65+;not working;high (Degree);owned outright
933;not changed;male;45-54;full or part time;medium (A-Level);mortgage
934;up by 5% or more;female;65+;not working;low (GCSE);owned outright
935;up by 3% but less than 4%;female;25-34;not working;high (Degree);other (inc private rent pre-2016)
936;Gone down;male;45-54;full or part time;high (Degree);mortgage
937;up by 3% but less than 4%;male;45-54;full or part time;medium (A-Level);mortgage
938;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
939;up by 1% but less than 2%;male;35-44;not working;high (Degree);other (inc private rent pre-2016)
940;up by 2% but less than 3%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
941;up by 2% but less than 3%;female;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
942;up by 5% or more;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
943;up by 5% or more;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
944;up by 4% but less than 5%;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
945;up by 1% but less than 2%;female;65+;not working;high (Degree);owned outright
946;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
947;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
948;up by 4% but less than 5%;female;25-34;full or part time;medium (A-Level);mortgage
949;Gone down;female;65+;not working;low (GCSE);owned outright
950;not changed;female;55-64;full or part time;medium (A-Level);owned outright
951;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
952;up by 5% or more;female;45-54;full or part time;high (Degree);mortgage
953;Gone down;female;25-34;full or part time;high (Degree);mortgage
954;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);mortgage
955;not changed;male;55-64;full or part time;medium (A-Level);mortgage
956;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
957;Gone down;female;45-54;full or part time;low (GCSE);mortgage
958;up by 2% but less than 3%;male;65+;not working;low (GCSE);owned outright
959;up by 3% but less than 4%;female;45-54;not working;low (GCSE);council rent
960;up by 2% but less than 3%;female;65+;not working;low (GCSE);council rent
961;Gone down;male;25-34;full or part time;high (Degree);mortgage
962;Gone down;male;55-64;full or part time;low (GCSE);owned outright
963;Gone down;male;65+;not working;low (GCSE);owned outright
964;up by 5% or more;female;45-54;not working;medium (A-Level);owned outright
965;not changed;male;55-64;full or part time;high (Degree);owned outright
966;up by 1% or less;male;45-54;not working;high (Degree);mortgage
967;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
968;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);owned outright
969;not changed;male;25-34;full or part time;medium (A-Level);mortgage
970;not changed;female;55-64;not working;low (GCSE);owned outright
971;not changed;female;55-64;not working;medium (A-Level);owned outright
972;up by 5% or more;female;55-64;full or part time;medium (A-Level);owned outright
973;Gone down;male;55-64;full or part time;medium (A-Level);owned outright
974;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);mortgage
975;not changed;female;65+;not working;low (GCSE);mortgage
976;not changed;male;45-54;not working;high (Degree);council rent
977;Gone down;female;45-54;full or part time;medium (A-Level);council rent
978;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);council rent
979;Gone down;female;15-24;full or part time;medium (A-Level);mortgage
980;up by 5% or more;male;65+;not working;low (GCSE);owned outright
981;not changed;female;35-44;full or part time;medium (A-Level);mortgage
982;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
983;Gone down;male;35-44;full or part time;high (Degree);mortgage
984;up by 1% or less;female;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
985;not changed;male;45-54;full or part time;medium (A-Level);mortgage
986;up by 1% but less than 2%;male;65+;not working;high (Degree);owned outright
987;up by 2% but less than 3%;female;15-24;not working;medium (A-Level);mortgage
988;Gone down;female;35-44;full or part time;high (Degree);mortgage
989;not changed;female;35-44;not working;medium (A-Level);owned outright
990;up by 2% but less than 3%;female;35-44;not working;high (Degree);owned outright
991;not changed;male;55-64;full or part time;low (GCSE);other (inc private rent pre-2016)
992;up by 2% but less than 3%;female;25-34;not working;medium (A-Level);mortgage
993;Gone down;male;45-54;full or part time;low (GCSE);other (inc private rent pre-2016)
994;Gone down;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
995;not changed;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
996;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
997;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
998;up by 1% but less than 2%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
999;up by 2% but less than 3%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
1000;up by 2% but less than 3%;male;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
1001;up by 3% but less than 4%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
1002;not changed;male;15-24;not working;medium (A-Level);owned outright
1003;Gone down;male;55-64;not working;low (GCSE);owned outright
1004;Gone down;male;25-34;full or part time;high (Degree);mortgage
1005;not changed;female;55-64;not working;low (GCSE);owned outright
1006;Gone down;male;65+;not working;medium (A-Level);owned outright
1007;not changed;female;55-64;full or part time;low (GCSE);mortgage
1008;not changed;female;25-34;not working;medium (A-Level);mortgage
1009;up by 1% but less than 2%;female;45-54;full or part time;medium (A-Level);mortgage
1010;up by 3% but less than 4%;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
1011;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
1012;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);mortgage
1013;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);mortgage
1014;not changed;female;35-44;not working;medium (A-Level);mortgage
1015;Gone down;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1016;up by 2% but less than 3%;female;55-64;not working;low (GCSE);other (inc private rent pre-2016)
1017;up by 3% but less than 4%;male;15-24;full or part time;high (Degree);owned outright
1018;not changed;female;55-64;full or part time;low (GCSE);owned outright
1019;up by 5% or more;female;65+;not working;low (GCSE);owned outright
1020;up by 5% or more;male;55-64;not working;medium (A-Level);owned outright
1021;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
1022;not changed;female;55-64;full or part time;high (Degree);mortgage
1023;up by 3% but less than 4%;male;55-64;full or part time;medium (A-Level);mortgage
1024;up by 5% or more;male;15-24;not working;medium (A-Level);mortgage
1025;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
1026;Gone down;female;15-24;full or part time;medium (A-Level);owned outright
1027;Gone down;male;65+;not working;low (GCSE);owned outright
1028;up by 4% but less than 5%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
1029;not changed;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
1030;up by 5% or more;male;35-44;not working;high (Degree);other (inc private rent pre-2016)
1031;up by 5% or more;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
1032;not changed;male;35-44;not working;medium (A-Level);mortgage
1033;up by 5% or more;female;35-44;full or part time;medium (A-Level);mortgage
1034;up by 5% or more;female;15-24;not working;low (GCSE);council rent
1035;up by 5% or more;male;15-24;full or part time;medium (A-Level);council rent
1036;not changed;female;55-64;not working;low (GCSE);council rent
1037;up by 1% or less;female;35-44;not working;low (GCSE);council rent
1038;up by 2% but less than 3%;female;55-64;full or part time;low (GCSE);owned outright
1039;not changed;male;55-64;not working;low (GCSE);owned outright
1040;not changed;male;25-34;not working;medium (A-Level);mortgage
1041;up by 1% but less than 2%;female;25-34;full or part time;medium (A-Level);mortgage
1042;not changed;male;35-44;full or part time;medium (A-Level);mortgage
1043;up by 2% but less than 3%;female;55-64;full or part time;low (GCSE);owned outright
1044;Gone down;male;25-34;full or part time;medium (A-Level);mortgage
1045;up by 4% but less than 5%;female;15-24;not working;low (GCSE);mortgage
1046;not changed;female;65+;not working;low (GCSE);owned outright
1047;up by 2% but less than 3%;male;35-44;full or part time;low (GCSE);mortgage
1048;up by 2% but less than 3%;female;65+;full or part time;medium (A-Level);council rent
1049;up by 5% or more;female;65+;not working;low (GCSE);owned outright
1050;Gone down;male;65+;not working;low (GCSE);council rent
1051;up by 5% or more;male;55-64;full or part time;high (Degree);mortgage
1052;up by 3% but less than 4%;female;55-64;not working;low (GCSE);owned outright
1053;up by 3% but less than 4%;female;15-24;full or part time;medium (A-Level);council rent
1054;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1055;up by 1% or less;male;55-64;full or part time;medium (A-Level);other (inc private rent pre-2016)
1056;Gone down;male;45-54;full or part time;medium (A-Level);owned outright
1057;up by 4% but less than 5%;male;55-64;not working;medium (A-Level);owned outright
1058;not changed;male;35-44;full or part time;medium (A-Level);mortgage
1059;up by 4% but less than 5%;female;15-24;not working;medium (A-Level);owned outright
1060;up by 5% or more;female;55-64;full or part time;medium (A-Level);owned outright
1061;Gone down;male;65+;not working;low (GCSE);council rent
1062;up by 3% but less than 4%;female;45-54;full or part time;low (GCSE);council rent
1063;up by 3% but less than 4%;male;15-24;not working;medium (A-Level);council rent
1064;Gone down;male;45-54;full or part time;high (Degree);mortgage
1065;up by 4% but less than 5%;female;55-64;not working;low (GCSE);council rent
1066;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);council rent
1067;up by 5% or more;female;25-34;not working;low (GCSE);council rent
1068;up by 5% or more;female;25-34;not working;low (GCSE);council rent
1069;not changed;male;45-54;full or part time;medium (A-Level);mortgage
1070;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
1071;not changed;female;25-34;full or part time;medium (A-Level);mortgage
1072;Gone down;male;15-24;full or part time;medium (A-Level);mortgage
1073;up by 2% but less than 3%;female;55-64;full or part time;low (GCSE);mortgage
1074;up by 3% but less than 4%;female;55-64;full or part time;medium (A-Level);mortgage
1075;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
1076;not changed;female;25-34;not working;medium (A-Level);mortgage
1077;up by 4% but less than 5%;female;35-44;not working;medium (A-Level);mortgage
1078;up by 1% or less;female;65+;not working;low (GCSE);mortgage
1079;Gone down;female;15-24;full or part time;medium (A-Level);mortgage
1080;up by 5% or more;female;35-44;not working;high (Degree);owned outright
1081;Gone down;female;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
1082;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
1083;not changed;male;35-44;full or part time;high (Degree);mortgage
1084;up by 4% but less than 5%;female;65+;not working;medium (A-Level);other (inc private rent pre-2016)
1085;up by 5% or more;male;25-34;full or part time;medium (A-Level);owned outright
1086;Gone down;male;15-24;not working;medium (A-Level);council rent
1087;Gone down;female;35-44;not working;low (GCSE);mortgage
1088;Gone down;female;35-44;full or part time;medium (A-Level);council rent
1089;Gone down;male;35-44;full or part time;high (Degree);mortgage
1090;Gone down;female;35-44;full or part time;low (GCSE);council rent
1091;up by 1% but less than 2%;male;55-64;full or part time;high (Degree);owned outright
1092;up by 1% but less than 2%;male;45-54;full or part time;medium (A-Level);mortgage
1093;up by 5% or more;male;25-34;full or part time;medium (A-Level);mortgage
1094;up by 4% but less than 5%;male;65+;not working;low (GCSE);owned outright
1095;up by 5% or more;female;55-64;full or part time;low (GCSE);owned outright
1096;Gone down;male;45-54;not working;high (Degree);owned outright
1097;not changed;female;65+;not working;low (GCSE);owned outright
1098;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);council rent
1099;Gone down;male;45-54;full or part time;high (Degree);mortgage
1100;not changed;female;35-44;not working;medium (A-Level);mortgage
1101;up by 5% or more;male;35-44;full or part time;medium (A-Level);council rent
1102;up by 5% or more;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
1103;up by 3% but less than 4%;male;35-44;not working;low (GCSE);other (inc private rent pre-2016)
1104;not changed;female;65+;not working;medium (A-Level);council rent
1105;up by 2% but less than 3%;female;45-54;full or part time;low (GCSE);mortgage
1106;up by 2% but less than 3%;male;55-64;not working;medium (A-Level);council rent
1107;up by 1% or less;male;45-54;full or part time;low (GCSE);council rent
1108;up by 4% but less than 5%;male;15-24;full or part time;medium (A-Level);council rent
1109;up by 5% or more;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
1110;up by 2% but less than 3%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
1111;up by 5% or more;female;55-64;full or part time;medium (A-Level);mortgage
1112;not changed;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
1113;up by 4% but less than 5%;female;35-44;not working;high (Degree);other (inc private rent pre-2016)
1114;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1115;Gone down;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
1116;Gone down;female;35-44;not working;low (GCSE);council rent
1117;up by 3% but less than 4%;female;15-24;not working;high (Degree);council rent
1118;Gone down;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
1119;up by 1% or less;male;55-64;not working;high (Degree);owned outright
1120;Gone down;male;55-64;not working;high (Degree);owned outright
1121;up by 5% or more;male;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
1122;not changed;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
1123;Gone down;female;55-64;full or part time;low (GCSE);other (inc private rent pre-2016)
1124;not changed;female;65+;not working;low (GCSE);council rent
1125;up by 5% or more;male;25-34;full or part time;high (Degree);council rent
1126;Gone down;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
1127;Gone down;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
1128;Gone down;male;45-54;not working;low (GCSE);other (inc private rent pre-2016)
1129;up by 5% or more;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
1130;up by 1% but less than 2%;male;25-34;full or part time;medium (A-Level);mortgage
1131;up by 5% or more;male;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
1132;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);mortgage
1133;up by 2% but less than 3%;female;45-54;full or part time;high (Degree);owned outright
1134;Gone down;male;55-64;full or part time;low (GCSE);owned outright
1135;Gone down;female;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
1136;up by 1% but less than 2%;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
1137;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
1138;up by 3% but less than 4%;male;65+;not working;medium (A-Level);council rent
1139;up by 2% but less than 3%;male;55-64;full or part time;high (Degree);mortgage
1140;up by 2% but less than 3%;female;55-64;full or part time;high (Degree);owned outright
1141;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);council rent
1142;Gone down;female;35-44;not working;medium (A-Level);council rent
1143;up by 2% but less than 3%;male;35-44;full or part time;high (Degree);mortgage
1144;up by 3% but less than 4%;female;35-44;full or part time;medium (A-Level);mortgage
1145;up by 5% or more;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1146;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
1147;up by 1% or less;male;65+;not working;high (Degree);owned outright
1148;Gone down;male;55-64;full or part time;high (Degree);owned outright
1149;up by 1% or less;female;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
1150;Gone down;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
1151;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);mortgage
1152;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
1153;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);owned outright
1154;up by 1% but less than 2%;male;35-44;not working;low (GCSE);other (inc private rent pre-2016)
1155;up by 3% but less than 4%;male;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
1156;up by 5% or more;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
1157;not changed;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
1158;not changed;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1159;up by 5% or more;male;55-64;not working;medium (A-Level);council rent
1160;Gone down;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1161;up by 2% but less than 3%;female;55-64;not working;medium (A-Level);council rent
1162;up by 1% or less;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1163;up by 2% but less than 3%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1164;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
1165;up by 5% or more;male;65+;not working;low (GCSE);owned outright
1166;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
1167;up by 1% but less than 2%;male;15-24;not working;medium (A-Level);council rent
1168;up by 4% but less than 5%;female;15-24;not working;high (Degree);council rent
1169;up by 5% or more;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
1170;up by 4% but less than 5%;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
1171;up by 4% but less than 5%;male;65+;not working;high (Degree);other (inc private rent pre-2016)
1172;up by 4% but less than 5%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
1173;up by 5% or more;female;35-44;full or part time;medium (A-Level);mortgage
1174;up by 4% but less than 5%;female;25-34;full or part time;high (Degree);council rent
1175;Gone down;female;15-24;full or part time;medium (A-Level);mortgage
1176;up by 5% or more;male;45-54;full or part time;medium (A-Level);mortgage
1177;up by 1% or less;female;35-44;full or part time;medium (A-Level);mortgage
1178;up by 5% or more;male;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
1179;up by 4% but less than 5%;female;35-44;not working;medium (A-Level);council rent
1180;not changed;male;25-34;full or part time;medium (A-Level);mortgage
1181;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);mortgage
1182;not changed;female;35-44;full or part time;high (Degree);mortgage
1183;up by 1% but less than 2%;female;15-24;not working;high (Degree);mortgage
1184;not changed;female;55-64;not working;low (GCSE);owned outright
1185;Gone down;male;35-44;full or part time;high (Degree);mortgage
1186;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
1187;up by 5% or more;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1188;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
1189;Gone down;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1190;up by 2% but less than 3%;female;15-24;full or part time;high (Degree);other (inc private rent pre-2016)
1191;up by 5% or more;female;65+;full or part time;high (Degree);owned outright
1192;up by 5% or more;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
1193;up by 3% but less than 4%;female;65+;not working;low (GCSE);owned outright
1194;not changed;male;25-34;full or part time;medium (A-Level);mortgage
1195;up by 4% but less than 5%;female;65+;not working;low (GCSE);owned outright
1196;Gone down;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
1197;not changed;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
1198;up by 4% but less than 5%;male;35-44;full or part time;medium (A-Level);mortgage
1199;not changed;female;55-64;full or part time;medium (A-Level);owned outright
1200;not changed;male;35-44;full or part time;high (Degree);mortgage
1201;up by 2% but less than 3%;male;25-34;full or part time;high (Degree);mortgage
1202;Gone down;male;35-44;full or part time;high (Degree);mortgage
1203;up by 1% or less;female;45-54;full or part time;low (GCSE);mortgage
1204;Gone down;male;45-54;not working;medium (A-Level);mortgage
1205;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);mortgage
1206;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);mortgage
1207;up by 5% or more;male;55-64;full or part time;low (GCSE);mortgage
1208;up by 5% or more;male;35-44;not working;medium (A-Level);mortgage
1209;not changed;male;35-44;full or part time;medium (A-Level);mortgage
1210;not changed;female;35-44;full or part time;medium (A-Level);mortgage
1211;up by 4% but less than 5%;male;55-64;not working;medium (A-Level);mortgage
1212;not changed;female;35-44;full or part time;medium (A-Level);mortgage
1213;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
1214;up by 1% or less;female;25-34;full or part time;high (Degree);mortgage
